Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C12, C17, C6, C8, C9",0603,6,100nF,
"C13, C15, C16, C5",1210,4,C,
C14,0603,1,68pF,
"D10, D14",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,2,WS2812B,
"D11, D4",0805,2,LED GREEN,
D12,0805,1,LED YELLOW,
"D13, D6, D7",0805,3,LED RED,
"D3, D5, D8, D9",D_SMA,4,SS34,
J1,PinHeader_1x10_P2.54mm_Vertical_SMD_Pin1Right,1,Digital,
"J10, J12, J13, J14",PinHeader_1x04_P2.54mm_Horizontal,4,Conn_01x04_Pin,
"J11, J8, J9",PinHeader_1x03_P2.54mm_Horizontal,3,Conn_01x03_Pin,
J2,PinHeader_1x08_P2.54mm_Vertical_SMD_Pin1Right,1,Digital,
J3,PinHeader_1x08_P2.54mm_Vertical_SMD_Pin1Right,1,Power,
J4,PinHeader_1x06_P2.54mm_Vertical_SMD_Pin1Right,1,Analog,
"J5, J7",TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,2,Screw_Terminal_01x02,
J6,NINIGI_DC-005,1,DC-005,
"K1, K2",Relay_SPST_Omron_G5NB,2,G5NB,
L1,INDM5451X300N,1,IHLP2020CZER4R7M01,
LS1,CUI_CMT-8530S-SMT,1,CMT-8530S-SMT,
"Q1, Q2, Q3",SOT-23,3,SS8050,
"R10, R8, R9",0603,3,220R,
R11,0603,1,100K,
R12,0603,1,13.7K,
"R2, R4, R5",0603,3,1K,
"R22, R23",0603,2,10K,
"R3, R6, R7",0603,3,470R,
"SW1, SW2",SW_4-1437565-2,2,4-1437565-2,
U2,SOT-23-6,1,TPS54202DDC,
