Designator,Mid X,Mid Y,Rotation,Layer
C10,151.075,-116.075,270.0,top
C12,121.45,-70.575,0.0,top
C13,144.025,-69.1975,90.0,top
C14,133.475,-75.2,0.0,top
C15,144.5,-80.175,270.0,top
C16,148.0,-80.175,270.0,top
C17,141.875,-79.575,270.0,top
C5,140.825,-69.2,90.0,top
C6,138.3,-68.875,90.0,top
C8,136.975,-78.35,0.0,top
C9,151.275,-100.6125,270.0,top
D10,122.825,-80.25,180.0,top
D11,156.283333,-65.475,270.0,top
D12,161.066667,-65.475,270.0,top
D13,151.5,-65.475,270.0,top
D14,122.825,-74.65,180.0,top
D3,129.475,-76.275,90.0,top
D4,165.85,-65.475,270.0,top
D5,145.65,-91.55,180.0,top
D6,143.825,-84.575,0.0,top
D7,135.625,-84.575,0.0,top
D8,137.5,-91.45,180.0,top
D9,155.125,-76.475,0.0,top
J1,170.86,-83.635,0.0,bottom
J10,163.59,-83.55,0.0,top
J11,163.59,-113.2,0.0,top
J12,129.885,-88.7,180.0,top
J13,129.885,-100.1,180.0,top
J14,129.885,-111.65,180.0,top
J2,170.86,-108.005,0.0,bottom
J3,122.61,-90.225,0.0,bottom
J4,122.61,-110.555,0.0,bottom
J5,145.67,-118.9925,0.0,top
J6,129.7275,-68.065,270.0,top
J7,137.795,-118.9425,0.0,top
J8,163.59,-103.425,0.0,top
J9,163.59,-94.5,0.0,top
K1,145.6725,-104.0675,270.0,top
K2,137.6325,-104.0675,270.0,top
L1,143.6,-74.55,0.0,top
LS1,155.675,-83.575,180.0,top
Q1,143.7125,-87.725,90.0,top
Q2,135.5375,-87.65,90.0,top
Q3,161.025,-75.8125,90.0,top
R10,151.5,-69.5125,90.0,top
R11,133.475,-76.8,0.0,top
R12,134.275,-79.1,270.0,top
R2,165.85,-69.45,90.0,top
R22,151.275,-97.35,270.0,top
R23,151.1,-112.675,270.0,top
R3,146.4225,-87.6125,90.0,top
R4,141.0,-85.425,270.0,top
R5,132.875,-85.4,270.0,top
R6,138.1375,-87.5375,90.0,top
R7,164.0525,-75.7,90.0,top
R8,156.283333,-69.455,90.0,top
R9,161.066667,-69.3925,90.0,top
SW1,155.575,-95.229933,90.0,top
SW2,155.6,-108.9,90.0,top
U2,137.25,-74.6375,0.0,top
